Biol_rep,Phage,Rep,Evolved_line,Temperature,Competition,pfu,dil,PFU_ml
1,LUZ19,1,37,37,No_comp,43,-7,43000000000
1,LUZ19,2,37,37,No_comp,56,-7,56000000000
1,LUZ19,3,37,37,No_comp,61,-7,61000000000
1,LUZ19,4,37,37,No_comp,46,-7,46000000000
1,LUZ19,5,37,37,No_comp,43,-7,43000000000
1,LUZ19,6,37,37,No_comp,50,-7,50000000000
1,LUZ19,1,37,37,Comp,26,-7,26000000000
1,LUZ19,2,37,37,Comp,24,-7,24000000000
1,LUZ19,3,37,37,Comp,36,-7,36000000000
1,LUZ19,4,37,37,Comp,28,-7,28000000000
1,LUZ19,5,37,37,Comp,29,-7,29000000000
1,LUZ19,6,37,37,Comp,21,-7,21000000000
1,LUZ19,1,42,37,No_comp,36,-7,36000000000
1,LUZ19,2,42,37,No_comp,41,-7,41000000000
1,LUZ19,3,42,37,No_comp,37,-7,37000000000
1,LUZ19,4,42,37,No_comp,32,-7,32000000000
1,LUZ19,5,42,37,No_comp,29,-7,29000000000
1,LUZ19,6,42,37,No_comp,30,-7,30000000000
1,LUZ19,1,42,37,Comp,31,-7,31000000000
1,LUZ19,2,42,37,Comp,27,-7,27000000000
1,LUZ19,3,42,37,Comp,40,-7,40000000000
1,LUZ19,4,42,37,Comp,23,-7,23000000000
1,LUZ19,5,42,37,Comp,32,-7,32000000000
1,LUZ19,6,42,37,Comp,20,-7,20000000000
1,LUZ19,1,37C,37,No_comp,51,-7,51000000000
1,LUZ19,2,37C,37,No_comp,53,-7,53000000000
1,LUZ19,3,37C,37,No_comp,52,-7,52000000000
1,LUZ19,4,37C,37,No_comp,56,-7,56000000000
1,LUZ19,5,37C,37,No_comp,56,-7,56000000000
1,LUZ19,6,37C,37,No_comp,60,-7,60000000000
1,LUZ19,1,37C,37,Comp,33,-7,33000000000
1,LUZ19,2,37C,37,Comp,39,-7,39000000000
1,LUZ19,3,37C,37,Comp,41,-7,41000000000
1,LUZ19,4,37C,37,Comp,50,-7,50000000000
1,LUZ19,5,37C,37,Comp,43,-7,43000000000
1,LUZ19,6,37C,37,Comp,27,-7,27000000000
1,LUZ19,1,42C,37,No_comp,41,-7,41000000000
1,LUZ19,2,42C,37,No_comp,42,-7,42000000000
1,LUZ19,3,42C,37,No_comp,39,-7,39000000000
1,LUZ19,4,42C,37,No_comp,36,-7,36000000000
1,LUZ19,5,42C,37,No_comp,32,-7,32000000000
1,LUZ19,6,42C,37,No_comp,27,-7,27000000000
1,LUZ19,1,42C,37,Comp,17,-7,17000000000
1,LUZ19,2,42C,37,Comp,14,-7,14000000000
1,LUZ19,3,42C,37,Comp,14,-7,14000000000
1,LUZ19,4,42C,37,Comp,13,-7,13000000000
1,LUZ19,5,42C,37,Comp,11,-7,11000000000
1,LUZ19,6,42C,37,Comp,13,-7,13000000000
1,LUZ19,NA,Ancestor,37,No_comp,25,-7,25000000000
1,LUZ19,NA,Ancestor,37,No_comp,27,-7,27000000000
1,LUZ19,NA,Ancestor,37,No_comp,27,-7,27000000000
1,LUZ19,NA,Ancestor,37,Comp,12,-7,12000000000
1,LUZ19,NA,Ancestor,37,Comp,19,-7,19000000000
1,LUZ19,NA,Ancestor,37,Comp,16,-7,16000000000
1,LUZ19,1,F,37,No_comp,30,-7,30000000000
1,LUZ19,2,F,37,No_comp,36,-7,36000000000
1,LUZ19,3,F,37,No_comp,33,-7,33000000000
1,LUZ19,4,F,37,No_comp,40,-7,40000000000
1,LUZ19,5,F,37,No_comp,46,-7,46000000000
1,LUZ19,6,F,37,No_comp,31,-7,31000000000
1,LUZ19,1,F,37,Comp,16,-7,16000000000
1,LUZ19,2,F,37,Comp,16,-7,16000000000
1,LUZ19,3,F,37,Comp,17,-7,17000000000
1,LUZ19,4,F,37,Comp,17,-7,17000000000
1,LUZ19,5,F,37,Comp,18,-7,18000000000
1,LUZ19,6,F,37,Comp,10,-7,10000000000
1,LUZ19,1,FC,37,No_comp,41,-7,41000000000
1,LUZ19,2,FC,37,No_comp,37,-7,37000000000
1,LUZ19,3,FC,37,No_comp,36,-7,36000000000
1,LUZ19,4,FC,37,No_comp,46,-7,46000000000
1,LUZ19,5,FC,37,No_comp,43,-7,43000000000
1,LUZ19,6,FC,37,No_comp,56,-7,56000000000
1,LUZ19,1,FC,37,Comp,14,-7,14000000000
1,LUZ19,2,FC,37,Comp,14,-7,14000000000
1,LUZ19,3,FC,37,Comp,16,-7,16000000000
1,LUZ19,4,FC,37,Comp,21,-7,21000000000
1,LUZ19,5,FC,37,Comp,9,-7,9000000000
1,LUZ19,6,FC,37,Comp,15,-7,15000000000
1,LUZ19,1,37,42,No_comp,36,-7,36000000000
1,LUZ19,2,37,42,No_comp,31,-7,31000000000
1,LUZ19,3,37,42,No_comp,38,-7,38000000000
1,LUZ19,4,37,42,No_comp,36,-7,36000000000
1,LUZ19,5,37,42,No_comp,46,-7,46000000000
1,LUZ19,6,37,42,No_comp,14,-7,14000000000
1,LUZ19,1,37,42,Comp,36,-7,36000000000
1,LUZ19,2,37,42,Comp,26,-7,26000000000
1,LUZ19,3,37,42,Comp,31,-7,31000000000
1,LUZ19,4,37,42,Comp,40,-7,40000000000
1,LUZ19,5,37,42,Comp,39,-7,39000000000
